,captions_number,captions_text,captions_type,created_at,language,pagenumber,par_num,paragraph,rank,score,text,title,type
5,0,nan,nan,2016-10-26,english,1,8,"It is these type of dependencies that give minors a different status within the human trafficking  discourse; unlike adults, children do not need to be coerced in order to speak of human trafficking.  Furthermore, consent with their exploitation, the final aim of human traffickers, is irrelevant.   Some critique this status aparte. Assuming the choices of children are invaluable would be  incompatible with the principle of autonomy. Ignoring coercion and consent would supposedly keep  the stereotype of the child as a helpless creature in tact. I think that this critique is based on a false  premise: I believe that there is no conflict between the autonomy of the child and presuming its  inherent vulnerability in the context of human trafficking.  ",7,0.060678314112102,"It is these type of dependencies that give minors a different status within the human trafficking  discourse; unlike adults, children do not need to be coerced in order to speak of human trafficking.  Furthermore, consent with their exploitation, the final aim of human traffickers, is irrelevant.   Some critique this status aparte. Assuming the choices of children are invaluable would be  incompatible with the principle of autonomy. Ignoring coercion and consent would supposedly keep  the stereotype of the child as a helpless creature in tact. I think that this critique is based on a false  premise: I believe that there is no conflict between the autonomy of the child and presuming its  inherent vulnerability in the context of human trafficking.",Vierde bijeenkomst Santa Marta Group,toespraak
6,0,nan,nan,2016-10-26,english,1,3,"This Convention’s most important principle is the recognition of the autonomy of the child. Instead of  helpless creatures, children are human beings. Young people endowed with reason, conscience, and  the ability to make choices and indicate preferences. ",8,0.06053555459619488,"This Convention’s most important principle is the recognition of the autonomy of the child. Instead of  helpless creatures, children are human beings. Young people endowed with reason, conscience, and  the ability to make choices and indicate preferences.",Vierde bijeenkomst Santa Marta Group,toespraak
7,0,nan,nan,2016-10-26,english,2,15,"Firstly, child trafficking, child labour and child vulnerability are often looked at as being isolated from  human trafficking. Silos exist. These need to be taken down, as silo thinking impairs the fight against  human trafficking where children are the victim.  ",9,0.059513207218388015,"Firstly, child trafficking, child labour and child vulnerability are often looked at as being isolated from  human trafficking. Silos exist. These need to be taken down, as silo thinking impairs the fight against  human trafficking where children are the victim.",Vierde bijeenkomst Santa Marta Group,toespraak
8,0,nan,nan,2016-10-26,english,1,7,Dependency on adults in general – for various issues that a minor understandably does not have to  worry about yet.  ,10,0.05925039821650571,Dependency on adults in general – for various issues that a minor understandably does not have to  worry about yet.,Vierde bijeenkomst Santa Marta Group,toespraak
9,0,nan,nan,2016-10-26,english,1,9,"Let me illustrate this with two cases that were brought before the Dutch courts recently.   Mohammed was brought over to the Netherlands by his uncles when he was 14 years old. For seven  years, he was forced to work at a well-known market in Amsterdam.  ",11,0.05893346942563695,"Let me illustrate this with two cases that were brought before the Dutch courts recently.   Mohammed was brought over to the Netherlands by his uncles when he was 14 years old. For seven  years, he was forced to work at a well-known market in Amsterdam.",Vierde bijeenkomst Santa Marta Group,toespraak
10,0,nan,nan,2016-10-26,english,1,1,"Speech of the Dutch National Rapporteur on Trafficking in Human Beings and Sexual Violence  On the occasion of the meeting of the Santa Marta Group, 26th of October 2016, The Vatican.  against Children mr. C.E. Dettmeijer-Vermeulen. ",12,0.05688334902311494,"Speech of the Dutch National Rapporteur on Trafficking in Human Beings and Sexual Violence  On the occasion of the meeting of the Santa Marta Group, 26th of October 2016, The Vatican.  against Children mr. C.E. Dettmeijer-Vermeulen.",Vierde bijeenkomst Santa Marta Group,toespraak
11,0,nan,nan,2016-10-26,english,1,11,Instead of going to school.  ,13,0.05602622512434979,Instead of going to school.,Vierde bijeenkomst Santa Marta Group,toespraak
12,0,nan,nan,2016-10-26,english,1,10,"Six days per week, without pay. ",14,0.055044610031179345,"Six days per week, without pay.",Vierde bijeenkomst Santa Marta Group,toespraak
13,0,nan,nan,2016-10-26,english,1,6,Dependency on the teachers – for a good education and safety at school. ,15,0.05451463158223138,Dependency on the teachers – for a good education and safety at school.,Vierde bijeenkomst Santa Marta Group,toespraak
14,0,nan,nan,2016-10-26,english,1,12,Without a status to legally stay in the Netherlands.  ,16,0.05422849901393266,Without a status to legally stay in the Netherlands.,Vierde bijeenkomst Santa Marta Group,toespraak
15,0,nan,nan,2016-10-26,english,1,5,"Dependency on the parents or caretakers – for care, maintenance and other primary and secondary  necessities for life. ",17,0.053105629616212346,"Dependency on the parents or caretakers – for care, maintenance and other primary and secondary  necessities for life.",Vierde bijeenkomst Santa Marta Group,toespraak
0,0,nan,nan,2017-10-22,dutch,1,9,•  AANBEVELING Aan de minister en staatssecretaris van Veiligheid en Justitie: zie erop toe dat risico op recidive op de best mogelijke  manier wordt vastgesteld en benut om behandeling op te leggen aan zedendelinquenten. Dit vindt uitwerking in de  volgende aanbevelingen: 1.   Aan het Nederlands Instituut voor Forensische Psychiatrie en Psychologie en reclasseringsorganisaties: laat ,2,0.06810643984666895,•  AANBEVELING Aan de minister en staatssecretaris van Veiligheid en Justitie: zie erop toe dat risico op recidive op de best mogelijke  manier wordt vastgesteld en benut om behandeling op te leggen aan zedendelinquenten. Dit vindt uitwerking in de  volgende aanbevelingen: 1.   Aan het Nederlands Instituut voor Forensische Psychiatrie en Psychologie en reclasseringsorganisaties: laat,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
1,0,nan,nan,2017-10-22,dutch,1,7,"OPVALLENDE BEVINDINGEN  •   Als de deskundigen die de rechter adviseren zich niet uitspreken over het risico op recidive van een  zedendelinquent, legt de rechter minder behandeling op, terwijl het risico behandeling wel rechtvaardigt.  Daardoor worden zedendelinquenten onderbehandeld. Dat is onwenselijk omdat daardoor onnodig nieuwe  slachtoffers gemaakt kunnen worden. Dat geen uitspraak wordt gedaan is vaak onterecht: met actuariële  risicotaxatie is een uitspraak nagenoeg altijd mogelijk. ",3,0.06777175221294834,"OPVALLENDE BEVINDINGEN  •   Als de deskundigen die de rechter adviseren zich niet uitspreken over het risico op recidive van een  zedendelinquent, legt de rechter minder behandeling op, terwijl het risico behandeling wel rechtvaardigt.  Daardoor worden zedendelinquenten onderbehandeld. Dat is onwenselijk omdat daardoor onnodig nieuwe  slachtoffers gemaakt kunnen worden. Dat geen uitspraak wordt gedaan is vaak onterecht: met actuariële  risicotaxatie is een uitspraak nagenoeg altijd mogelijk.",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
2,0,nan,nan,2017-10-22,dutch,1,1,"Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen factsheet bij Gewogen risico Behandeling opleggen aan zedendelinquenten Ongeveer 12% van de zedendelinquenten pleegt ooit een nieuw zedendelict. Maar niet iedere zedendelinquent  heeft hetzelfde risico om dat te doen. De strafrechtketen zet behandeling en toezicht in om terugval (recidive) te  voorkomen. Behandeling is effectief als het aansluit bij het risico op een nieuw delict: hoe hoger het risico, hoe  zwaarder de behandeling. De maatschappij moet beschermd worden tegen plegers met een hoge kans op recidive om  nieuwe slachtoffers te voorkomen. Iederéén behandelen is ook niet de oplossing: daders met een laag risico worden  hier niet beter, en soms zelfs slechter van.",4,0.06758501972848185,"Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen factsheet bij Gewogen risico Behandeling opleggen aan zedendelinquenten Ongeveer 12% van de zedendelinquenten pleegt ooit een nieuw zedendelict. Maar niet iedere zedendelinquent  heeft hetzelfde risico om dat te doen. De strafrechtketen zet behandeling en toezicht in om terugval (recidive) te  voorkomen. Behandeling is effectief als het aansluit bij het risico op een nieuw delict: hoe hoger het risico, hoe  zwaarder de behandeling. De maatschappij moet beschermd worden tegen plegers met een hoge kans op recidive om  nieuwe slachtoffers te voorkomen. Iederéén behandelen is ook niet de oplossing: daders met een laag risico worden  hier niet beter, en soms zelfs slechter van.",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
3,0,nan,nan,2017-10-22,dutch,1,1,"Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen factsheet bij Gewogen risico Behandeling opleggen aan zedendelinquenten Ongeveer 12% van de zedendelinquenten pleegt ooit een nieuw zedendelict. Maar niet iedere zedendelinquent  heeft hetzelfde risico om dat te doen. De strafrechtketen zet behandeling en toezicht in om terugval (recidive) te  voorkomen. Behandeling is effectief als het aansluit bij het risico op een nieuw delict: hoe hoger het risico, hoe  zwaarder de behandeling. De maatschappij moet beschermd worden tegen plegers met een hoge kans op recidive om  nieuwe slachtoffers te voorkomen. Iederéén behandelen is ook niet de oplossing: daders met een laag risico worden  hier niet beter, en soms zelfs slechter van.",4,0.06758501972848185,"Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen factsheet bij Gewogen risico Behandeling opleggen aan zedendelinquenten Ongeveer 12% van de zedendelinquenten pleegt ooit een nieuw zedendelict. Maar niet iedere zedendelinquent  heeft hetzelfde risico om dat te doen. De strafrechtketen zet behandeling en toezicht in om terugval (recidive) te  voorkomen. Behandeling is effectief als het aansluit bij het risico op een nieuw delict: hoe hoger het risico, hoe  zwaarder de behandeling. De maatschappij moet beschermd worden tegen plegers met een hoge kans op recidive om  nieuwe slachtoffers te voorkomen. Iederéén behandelen is ook niet de oplossing: daders met een laag risico worden  hier niet beter, en soms zelfs slechter van.",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
4,0,nan,nan,2017-10-22,dutch,1,1,"Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen factsheet bij Gewogen risico Behandeling opleggen aan zedendelinquenten Ongeveer 12% van de zedendelinquenten pleegt ooit een nieuw zedendelict. Maar niet iedere zedendelinquent  heeft hetzelfde risico om dat te doen. De strafrechtketen zet behandeling en toezicht in om terugval (recidive) te  voorkomen. Behandeling is effectief als het aansluit bij het risico op een nieuw delict: hoe hoger het risico, hoe  zwaarder de behandeling. De maatschappij moet beschermd worden tegen plegers met een hoge kans op recidive om  nieuwe slachtoffers te voorkomen. Iederéén behandelen is ook niet de oplossing: daders met een laag risico worden  hier niet beter, en soms zelfs slechter van.",4,0.06758501972848185,"Nationaal Rapporteur Mensenhandel en Seksueel Geweld tegen Kinderen factsheet bij Gewogen risico Behandeling opleggen aan zedendelinquenten Ongeveer 12% van de zedendelinquenten pleegt ooit een nieuw zedendelict. Maar niet iedere zedendelinquent  heeft hetzelfde risico om dat te doen. De strafrechtketen zet behandeling en toezicht in om terugval (recidive) te  voorkomen. Behandeling is effectief als het aansluit bij het risico op een nieuw delict: hoe hoger het risico, hoe  zwaarder de behandeling. De maatschappij moet beschermd worden tegen plegers met een hoge kans op recidive om  nieuwe slachtoffers te voorkomen. Iederéén behandelen is ook niet de oplossing: daders met een laag risico worden  hier niet beter, en soms zelfs slechter van.",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
5,0,nan,nan,2017-10-22,dutch,1,2,"We stellen niet op de juiste manier vast hoe gevaarlijk iedere zedendelinquent is. Dat  kan tot over- of onderbehandeling leiden, wat nieuwe slachtoffers kan betekenen. CONCLUSIES  •   Risicotaxatie bij zedendelinquenten vindt in het Nederlandse systeem niet plaats volgens de best voorspellende  methode. We weten dus niet goed genoeg hoe recidivegevaarlijk een zedendelinquent is, terwijl methoden beschik- baar zijn die beter voorspellen.",6,0.06550315745400216,"We stellen niet op de juiste manier vast hoe gevaarlijk iedere zedendelinquent is. Dat  kan tot over- of onderbehandeling leiden, wat nieuwe slachtoffers kan betekenen. CONCLUSIES  •   Risicotaxatie bij zedendelinquenten vindt in het Nederlandse systeem niet plaats volgens de best voorspellende  methode. We weten dus niet goed genoeg hoe recidivegevaarlijk een zedendelinquent is, terwijl methoden beschik- baar zijn die beter voorspellen.",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
6,0,nan,nan,2017-10-22,dutch,1,12,kans op nieuwe delicten leidend zijn bij het adviseren van behandeling.,7,0.06536874299203002,kans op nieuwe delicten leidend zijn bij het adviseren van behandeling.,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
7,0,nan,nan,2017-10-22,dutch,1,16,uitspraken over recidive en daaraan gekoppelde behandeladviezen op waarde te schatten.,9,0.06381087995373985,uitspraken over recidive en daaraan gekoppelde behandeladviezen op waarde te schatten.,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
8,0,nan,nan,2017-10-22,dutch,1,5,2.   Sluit de geadviseerde en de opgelegde behandeling aan bij de kans op recidive?,10,0.06352296049516898,2.   Sluit de geadviseerde en de opgelegde behandeling aan bij de kans op recidive?,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
9,0,nan,nan,2017-10-22,dutch,1,5,2.   Sluit de geadviseerde en de opgelegde behandeling aan bij de kans op recidive?,10,0.06352296049516898,2.   Sluit de geadviseerde en de opgelegde behandeling aan bij de kans op recidive?,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
10,0,nan,nan,2017-10-22,dutch,1,6,"Dit is onderzocht door dossieronderzoek in strafzaken tegen verdachten van seksueel geweld tegen kinderen uit 2012  en 2013, in bij elkaar horende rapportages van reclassering (N=197) en gedragsdeskundigen (N=234), en vonnissen  (N=125).",8,0.06459798481103958,"Dit is onderzocht door dossieronderzoek in strafzaken tegen verdachten van seksueel geweld tegen kinderen uit 2012  en 2013, in bij elkaar horende rapportages van reclassering (N=197) en gedragsdeskundigen (N=234), en vonnissen  (N=125).",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
11,0,nan,nan,2017-10-22,dutch,1,6,"Dit is onderzocht door dossieronderzoek in strafzaken tegen verdachten van seksueel geweld tegen kinderen uit 2012  en 2013, in bij elkaar horende rapportages van reclassering (N=197) en gedragsdeskundigen (N=234), en vonnissen  (N=125).",8,0.06459798481103958,"Dit is onderzocht door dossieronderzoek in strafzaken tegen verdachten van seksueel geweld tegen kinderen uit 2012  en 2013, in bij elkaar horende rapportages van reclassering (N=197) en gedragsdeskundigen (N=234), en vonnissen  (N=125).",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
12,0,nan,nan,2017-10-22,dutch,1,6,"Dit is onderzocht door dossieronderzoek in strafzaken tegen verdachten van seksueel geweld tegen kinderen uit 2012  en 2013, in bij elkaar horende rapportages van reclassering (N=197) en gedragsdeskundigen (N=234), en vonnissen  (N=125).",8,0.06459798481103958,"Dit is onderzocht door dossieronderzoek in strafzaken tegen verdachten van seksueel geweld tegen kinderen uit 2012  en 2013, in bij elkaar horende rapportages van reclassering (N=197) en gedragsdeskundigen (N=234), en vonnissen  (N=125).",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
13,0,nan,nan,2017-10-22,dutch,1,6,"Dit is onderzocht door dossieronderzoek in strafzaken tegen verdachten van seksueel geweld tegen kinderen uit 2012  en 2013, in bij elkaar horende rapportages van reclassering (N=197) en gedragsdeskundigen (N=234), en vonnissen  (N=125).",8,0.06459798481103958,"Dit is onderzocht door dossieronderzoek in strafzaken tegen verdachten van seksueel geweld tegen kinderen uit 2012  en 2013, in bij elkaar horende rapportages van reclassering (N=197) en gedragsdeskundigen (N=234), en vonnissen  (N=125).",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
14,0,nan,nan,2017-10-22,dutch,1,11,2.   Aan het Nederlands Instituut voor Forensische Psychiatrie en Psychologie en reclasseringsorganisaties: laat de ,14,0.05795742155953093,2.   Aan het Nederlands Instituut voor Forensische Psychiatrie en Psychologie en reclasseringsorganisaties: laat de,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
15,0,nan,nan,2017-10-22,dutch,1,11,2.   Aan het Nederlands Instituut voor Forensische Psychiatrie en Psychologie en reclasseringsorganisaties: laat de ,14,0.05795742155953093,2.   Aan het Nederlands Instituut voor Forensische Psychiatrie en Psychologie en reclasseringsorganisaties: laat de,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
16,0,nan,nan,2017-10-22,dutch,1,15,4.   Aan het Openbaar Ministerie en de rechtspraak: zorg dat officieren en rechters voldoende kennis bezitten om ,11,0.06340729082200605,4.   Aan het Openbaar Ministerie en de rechtspraak: zorg dat officieren en rechters voldoende kennis bezitten om,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
17,0,nan,nan,2017-10-22,dutch,1,10,actuariële instrumenten het oordeel over risico bepalen.,12,0.06135963324505144,actuariële instrumenten het oordeel over risico bepalen.,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
18,0,nan,nan,2017-10-22,dutch,1,13,3.   Aan het Openbaar Ministerie en de rechtspraak: maak actuariële risicotaxatie onderdeel van de opdracht aan de ,13,0.059104238862842655,3.   Aan het Openbaar Ministerie en de rechtspraak: maak actuariële risicotaxatie onderdeel van de opdracht aan de,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
19,0,nan,nan,2017-10-22,dutch,1,4,"thodes voor, worden die in Nederland toegepast?",15,0.05023886353789544,"thodes voor, worden die in Nederland toegepast?",Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
20,0,nan,nan,2017-10-22,dutch,1,14,adviserende partijen.,16,0.04680603720108464,adviserende partijen.,Gewogen risico. Deel 2- Behandeling opleggen aan zedendelinquenten,rapport
