"title","createdAt","type","paragraphs.text","paragraphs.pagenumber","captions.number","captions.text","captions.type","language","docType"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Eenduidigheid in de toepassing van de wet Eenduidigheid in strafoplegging aan daders en Eenduidigheid in schadevergoeding voor slachtoffers Het moet niet uitmaken of de zaak wordt behandeld door de Rechtbank Den Bosch dan wel de Rechtbank Rotterdam, niet voor de dader en niet voor het slachtoffer.","3","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Om die eenduidigheid te bereiken, kom ik tot drie aanbevelingen.","3","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Ten eerste pleit ik voor specialisatie van en een intensieve opleiding voor rechters en officieren van justitie. Mensenhandelzaken zijn complex. Het wetsartikel is gebaseerd op meerdere internationale verdragen. Kennis van die internationale achtergrond moet behoren tot de basisuitrusting van de officier van justitie en de rechter die deze zaken behandelt. Want mensenhandelzaken zijn niet alleen juridisch ingewikkeld, het zijn ook vaak dikke, soms onoverzichtelijke dossiers die in een hoog tempo moeten worden bestudeerd. Dan blijft er weinig tijd over. De basisuitrusting dus. Daarom ben ik ook verheugd dat inmiddels door de Strafsector Voorzitters is besloten tot die specialisatie, vergezeld van een gedegen opleiding. Dat zal de eenduidigheid ten goede komen.","3","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Ten tweede pleit ik voor de ontwikkeling van uitgangspunten voor de straftoemeting. Voor de rechter. Natuurlijk, verschillen in straftoemeting zullen altijd blijven bestaan. Iedere zaak moet op zijn eigen merites worden beoordeeld. Maar de uitgangspunten waarop de strafoplegging wordt gebaseerd, moeten voor iedere rechter hetzelfde zijn. Simpel gezegd, als in de ene rechtbank de hoogte van de straf mede bepaald wordt door het aantal uitgebuite slachtoffers dan wekt het verwondering dat een andere rechtbank van oordeel is dat het aantal slachtoffers er niet toe doet bij het bepalen van de straf. Als in de ene rechtbank het over de grens brengen van Oost-Europese vrouwen om in Nederland in de prostitutie te gaan leidt tot een gevangenisstraf van 15 maanden, is het moeilijk uit te leggen dat een andere rechtbank in het Nederlandse prostitutiebeleid aanleiding ziet een dergelijk feit in het geheel niet te bestraffen. Dat is gek. Ook worden omstandigheden als gedwongen abortus en een slachtoffer jonger dan 16 jaar soms wel en soms niet bij de strafoplegging meegenomen. Het Openbaar Ministerie heeft richtlijnen ontwikkeld voor het formuleren van de strafeis in 3mensenhandelzaken. Daaraan is de rechter uiteraard niet gebonden, maar dan moet de zittende magistratuur wel zelf uitgangspunten formuleren.","3, 4","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Ten derde pleit ik ervoor dat de rechterlijke macht en het Openbaar Ministerie invulling geven aan het recht van het slachtoffer op schadevergoeding. Met mensenhandel wordt heel veel geld verdiend ten koste van slachtoffers. Het hoogst toegekende bedrag is €924.000,00. Dat is een uitzondering. Meestal dient het slachtoffer bij het strafproces geen vordering tot schadevergoeding in. En als het slachtoffer wel overgaat tot het indienen van een vordering dan wordt hij of zij geconfronteerd met vele obstakels. Het eerste obstakel is de beslissing of de vordering het strafproces niet te zeer belast. Vaak is dit volgens de rechter wel, in ieder geval voor een deel, het geval. Maar waar gaat het meestal over? Over immateriële schade (smartengeld) en vaak ook over afgepakte inkomsten. In feite is die laatste berekening een eenvoudige vermenigvuldiging van de gewerkte dagen per week, de periode van uitbuiting en de verdiensten per dag. Dit zijn alle feiten en omstandigheden die de rechter ook in zijn bewezenverklaring mee moet nemen. En als de vordering wel wordt behandeld en de rekensom wordt gemaakt doet zich het volgende obstakel voor. Hoeveel van het vastgestelde schadebedrag wordt toegekend kan dan nog heel verschillend uitpakken. Zo zijn er drie voorbeelden waarbij een schadebedrag op deze wijze is vastgesteld, maar in een zaak wordt het bedrag volledig toegekend, in een andere zaak voor 50% en in weer een andere zaak voor 10%. En waar dat verschil in zit is niet duidelijk.","4","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","De rechter zou ook zonder vordering ambtshalve een schadevergoedingsmaatregel op kunnen leggen. Van deze mogelijkheid wordt zo goed als geen gebruik gemaakt. Een voorbeeld waar dat wel gebeurde was in de zaak van de aspergestekers in Someren. Het kan dus wel.","4","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Maar ook het Openbaar Ministerie zou het slachtoffer in deze beter tegemoet moeten komen. Voor de zitting, met slachtofferhulp en met het op laten stellen van een financiële rapportage. Maar ook later als er geen vordering door het slachtoffer is ingediend dan wel deze niet is gehonoreerd en het OM overgaat tot ontneming. Er moet dan een goede manier gevonden worden om de door het slachtoffer verdiende en van haar afgepakte geld aan haar te doen toekomen. Het gaat niet aan dat dit geld zou vervallen aan de staat.","4","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Dit zijn de aanbevelingen; voor een deel heb ik reeds de toezegging dat deze zullen worden uitgevoerd, dat is mooi. Maar het zijn nu nog woorden, ik zal de daden nauwlettend 4monitoren. Ik wens de rechtspraak veel succes met de invoering van de specialisatie. Ik hoop dat mijn rapport een bijdrage kan leveren aan de expertisevorming.","4, 5","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","18 oktober, de Europese dag tegen de mensenhandel. In Nederland kunnen we welhaast spreken van een week tegen de mensenhandel: iedere dag zijn deze week wel activiteiten georganiseerd om extra aandacht te genereren voor de strijd tegen mensenhandel en het immense belang daarvan. Dat toont aan dat het onderwerp leeft in Nederland. Dat de politieke aandacht zich heeft vertaald naar de werkvloer. Niettemin blijft de aanpak van mensenhandel een onrustig bezit. Bewustzijn en expertise vorming moeten in de hele keten continue worden bewaakt. Verworvenheden kunnen zo weer verdwijnen. In de justitiële keten zijn grote veranderingen op komst. Zo zal ook met het vormen van de Nationale Politie aandacht moeten zijn voor het vasthouden van de inmiddels opgebouwde expertise.","5","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
"Embargo tot 18 okt. 2012, 12.30 uur",2012-10-18,"embargo","Het is mij een eer Excellentie, om u op de dag tegen de mensenhandel dit rapport te mogen overhandigen.","5","12.5","this is an example caption, because this document has none","image","Dutch","Rapport"
